"numerocomuna","barrios","ingreso_promedio"
14,"Palermo",502951
13,"Núñez, Belgrano y Colegiales",393701
2,"Recoleta",384872
6,"Caballito",344903
12,"Coghlan, Saavedra, Villa Urquiza y Villa Pueyrredón",333757
5,"Almagro y Boedo.",296836
11,"Villa General Mitre, Villa Devoto, Villa del Parque y Villa Santa Rita",283689
15,"Chacarita, Villa Crespo, La Paternal, Villa Ortúzar, Agronomía y Parque Chas",274258
3,"Balvanera y San Cristóbal",270140
1,"Retiro, San Nicolás, Puerto Madero, San Telmo, Montserrat y Constitución.",268337
7,"Flores y Parque Chacabuco",244493
10,"Villa Real, Monte Castro, Versalles, Floresta, Vélez Sarsfield y Villa Luro.",236426
9,"Liniers, Mataderos y Parque Avellaneda",210269
4,"La Boca, Barracas, Parque Patricios y Nueva Pompeya",207963
8,"Villa Soldati, Villa Riachuelo y Villa Lugano",130559
